ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
600031.SH,20250911,20.7766,20.9246,20.5892,20.9246,21.15,0.06,0.2837,508087.78,1069267.937,0.986545
600031.SH,20250912,21.043,21.1515,20.7766,20.8358,21.21,-0.09,-0.4243,599220.82,1275259.456,0.986545
600031.SH,20250915,20.8457,20.9246,20.2735,20.382,21.12,-0.46,-2.178,703655.6,1466813.138,0.986545
600031.SH,20250916,20.4215,20.5596,20.234,20.3722,20.66,-0.01,-0.0484,369599.85,763653.77,0.986545
600031.SH,20250917,20.2834,20.7865,20.2538,20.6879,20.65,0.32,1.5496,515529.59,1076089.736,0.986545
600031.SH,20250918,20.747,20.8852,20.382,20.5103,20.97,-0.18,-0.8584,575689.21,1206698.608,0.986545
600031.SH,20250919,20.4708,21.6448,20.4412,21.5955,20.79,1.1,5.291,1450108.19,3141875.455,0.986545
600031.SH,20250922,21.6053,21.6251,21.0726,21.2896,21.89,-0.31,-1.4162,646688.77,1393441.444,0.986545
600031.SH,20250923,21.408,21.487,20.9148,21.339,21.58,0.05,0.2317,515734.51,1105522.086,0.986545
600031.SH,20250924,21.26,22.0493,21.1121,21.9506,21.63,0.62,2.8664,967410.68,2133280.111,0.986545
600031.SH,20250925,21.9506,22.1381,21.6448,21.852,22.25,-0.1,-0.4494,575380.72,1273607.034,0.986545
600031.SH,20250926,21.704,22.3157,21.6645,21.9802,22.15,0.13,0.5869,693027.99,1552203.722,0.986545
600031.SH,20250929,22.0493,22.7201,21.704,22.6609,22.28,0.69,3.0969,1109941.02,2521350.414,0.986545
600031.SH,20250930,22.6708,23.1641,22.4932,22.9273,22.97,0.27,1.1754,827762.96,1914588.064,0.986545
600031.SH,20251009,22.7004,22.9766,22.1973,22.9273,23.24,0.0,0.0,909111.86,2083585.421,0.986545
600031.SH,20251010,22.8681,23.3417,22.5722,22.6511,23.24,-0.28,-1.2048,822670.82,1911017.39,0.986545
600031.SH,20251013,21.704,22.6708,21.5856,22.5623,22.96,-0.09,-0.392,723516.27,1631506.048,0.986545
600031.SH,20251014,22.6905,23.7264,22.5426,22.73,22.87,0.17,0.7433,1040051.92,2426088.839,0.986545
600031.SH,20251015,22.8,23.76,22.73,23.46,22.73,0.73,3.2116,885931.8,2067033.474,1.0
600031.SH,20251016,23.47,23.97,23.28,23.57,23.46,0.11,0.4689,787069.02,1863752.404,1.0
600031.SH,20251017,23.45,23.45,22.43,22.5,23.57,-1.07,-4.5397,759272.8,1731924.431,1.0
600031.SH,20251020,22.82,23.07,22.38,22.49,22.5,-0.01,-0.0444,589945.68,1335934.334,1.0
600031.SH,20251021,22.59,22.95,22.43,22.83,22.49,0.34,1.5118,584954.82,1330738.523,1.0
600031.SH,20251022,22.98,23.37,22.79,23.02,22.83,0.19,0.8322,715264.1,1649581.863,1.0
600031.SH,20251023,22.8,22.83,22.25,22.68,23.02,-0.34,-1.477,663292.47,1491133.841,1.0
600031.SH,20251024,22.73,23.28,22.66,22.91,22.68,0.23,1.0141,483273.84,1110582.848,1.0
600031.SH,20251027,22.94,23.47,22.37,22.53,22.91,-0.38,-1.6587,1027526.25,2345231.316,1.0
600031.SH,20251028,22.5,22.6,21.87,21.95,22.53,-0.58,-2.5743,1315459.82,2904891.556,1.0
600031.SH,20251029,21.95,22.18,21.9,22.12,21.95,0.17,0.7745,519559.06,1144951.991,1.0
600031.SH,20251030,22.28,22.8,22.24,22.51,22.12,0.39,1.7631,932832.63,2106141.612,1.0
600031.SH,20251031,22.56,22.64,22.14,22.14,22.51,-0.37,-1.6437,712946.73,1592066.01,1.0
600031.SH,20251103,22.18,22.36,21.72,21.88,22.14,-0.26,-1.1743,518531.09,1136319.147,1.0
600031.SH,20251104,21.8,22.18,21.58,21.71,21.88,-0.17,-0.777,515388.24,1126599.709,1.0
600031.SH,20251105,21.61,21.93,21.31,21.82,21.71,0.11,0.5067,486044.94,1049851.764,1.0
